O*NET-SOC 2000 Occupation Listings,,
O*NET-SOC 2000 occupations,,
,,
O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2000 Description
41-9041.00,Telemarketers,Solicit orders for goods or services over the telephone.
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.
41-9099.99,"Sales and Related Workers, All Other",All sales and related workers not listed separately.
43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers,Supervise and coordinate the activities of clerical and administrative support workers.
43-1011.01,"First-Line Supervisors, Customer Service",Supervise and coordinate activities of workers involved in providing customer service.
43-1011.02,"First-Line Supervisors, Administrative Support",Supervise and coordinate activities of workers involved in providing administrative support.
43-2011.00,"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages."
43-2021.00,Telephone Operators,"Provide information by accessing alphabetical and geographical directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls."
43-2021.01,Directory Assistance Operators,Provide telephone information from central office switchboard. Refer to alphabetical or geographical reels or directories to answer questions or suggest answer sources.
43-2021.02,Central Office Operators,Operate telephone switchboard to establish or assist customers in establishing local or long-distance telephone connections.
43-2099.99,"Communications Equipment Operators, All Other",All communications equipment operators not listed separately.
43-3011.00,Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account; preparing statements to credit department if customer fails to respond; initiating repossession proceedings or service disconnection; keeping records of collection and status of accounts."
43-3021.00,Billing and Posting Clerks and Machine Operators,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods."
43-3021.01,Statement Clerks,"Prepare and distribute bank statements to customers, answer inquiries, and reconcile discrepancies in records and accounts."
43-3021.02,"Billing, Cost, and Rate Clerks","Compile data, compute fees and charges, and prepare invoices for billing purposes. Duties include computing costs and calculating rates for goods, services, and shipment of goods; posting data; and keeping other relevant records. May involve use of computer or typewriter, calculator, and adding and bookkeeping machines."
43-3021.03,"Billing, Posting, and Calculating Machine Operators","Operate machines that automatically perform mathematical processes, such as addition, subtraction, multiplication, and division, to calculate and record billing, accounting, statistical, and other numerical data. Duties include operating special billing machines to prepare statements, bills, and invoices, and operating bookkeeping machines to copy and post data, make computations, and compile records of transactions."
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers."
43-3041.00,Gaming Cage Workers,"In a gaming establishment, conduct financial transactions for patrons. May reconcile daily summaries of transactions to balance books. Accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gaming chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction."
43-3051.00,Payroll and Timekeeping Clerks,"Compile and post employee time and payroll data. May compute employees' time worked, production, and commission. May compute and post wages and deductions. May prepare paychecks."
43-3061.00,Procurement Clerks,Compile information and records to draw up purchase orders for procurement of materials and services.
43-3071.00,Tellers,Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.
43-4011.00,Brokerage Clerks,"Perform clerical duties involving the purchase or sale of securities. Duties include writing orders for stock purchases and sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings."
43-4021.00,Correspondence Clerks,"Compose letters in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate reply and typing correspondence."
43-4031.00,"Court, Municipal, and License Clerks","Perform clerical duties in courts of law, municipalities, and governmental licensing agencies and bureaus. May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; record data, administer tests, or collect fees."
43-4031.01,Court Clerks,"Perform clerical duties in court of law; prepare docket of cases to be called; secure information for judges; and contact witnesses, attorneys, and litigants to obtain information for court."
43-4031.02,Municipal Clerks,Draft agendas and bylaws for town or city council; record minutes of council meetings; answer official correspondence; keep fiscal records and accounts; and prepare reports on civic needs.
43-4031.03,License Clerks,"Issue licenses or permits to qualified applicants. Obtain necessary information; record data; advise applicants on requirements; collect fees; and issue licenses. May conduct oral, written, visual, or performance testing."
43-4041.00,"Credit Authorizers, Checkers, and Clerks",Authorize credit charges against customers' accounts. Investigate history and credit standing of individuals or business establishments applying for credit. May interview applicants to obtain personal and financial data; determine credit worthiness; process applications; and notify customers of acceptance or rejection of credit.
43-4041.01,Credit Authorizers,Authorize credit charges against customers' accounts.
43-4041.02,Credit Checkers,Investigate history and credit standing of individuals or business establishments applying for credit. Telephone or write to credit departments of business and service establishments to obtain information about applicant's credit standing.
43-4051.00,Customer Service Representatives,Interact with customers to provide information in response to inquiries about products and services and to handle and resolve complaints.
43-4051.01,Adjustment Clerks,"Investigate and resolve customers' inquiries concerning merchandise, service, billing, or credit rating. Examine pertinent information to determine accuracy of customers' complaints and responsibility for errors. Notify customers and appropriate personnel of findings, adjustments, and recommendations, such as exchange of merchandise, refund of money, credit to customers' accounts, or adjustment to customers' bills."
43-4051.02,"Customer Service Representatives, Utilities","Interview applicants for water, gas, electric, or telephone service. Talk with customer by phone or in person and receive orders for installation, turn-on, discontinuance, or change in services."
43-4061.00,"Eligibility Interviewers, Government Programs","Determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing."
43-4061.01,"Claims Takers, Unemployment Benefits",Interview unemployed workers and compile data to determine eligibility for unemployment benefits.
43-4061.02,Welfare Eligibility Workers and Interviewers,"Interview and investigate applicants and recipients to determine eligibility for use of social programs and agency resources. Duties include recording and evaluating personal and financial data obtained from individuals; initiating procedures to grant, modify, deny, or terminate eligibility for various aid programs; authorizing grant amounts; and preparing reports. These workers generally receive specialized training and assist social service caseworkers."
43-4071.00,File Clerks,"File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. Locate and remove material from file when requested."
43-4081.00,"Hotel, Motel, and Resort Desk Clerks","Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests."
43-4111.00,"Interviewers, Except Eligibility and Loan","Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms."
43-4121.00,"Library Assistants, Clerical","Compile records, sort and shelve books, and issue and receive library materials such as pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials."
43-4131.00,Loan Interviewers and Clerks,"Interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department. Review loan papers to ensure completeness, and complete transactions between loan establishment, borrowers, and sellers upon approval of loan."
43-4141.00,New Accounts Clerks,Interview persons desiring to open bank accounts. Explain banking services available to prospective customers and assist them in preparing application form.
43-4151.00,Order Clerks,"Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints."
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping","Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports on ability, and date of and reason for termination. Compile and type reports from employment records. File employment records. Search employee files and furnish information to authorized persons."
43-4171.00,Receptionists and Information Clerks,"Answer inquiries and obtain information for general public, customers, visitors, and other interested parties. Provide information regarding activities conducted at establishment; location of departments, offices, and employees within organization."
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,"Make and confirm reservations and sell tickets to passengers and for large hotel or motel chains. May check baggage and direct passengers to designated concourse, pier, or track; make reservations, deliver tickets, arrange for visas, contact individuals and groups to inform them of package tours, or provide tourists with travel information, such as points of interest, restaurants, rates, and emergency service."
43-4181.01,Travel Clerks,"Provide tourists with travel information, such as points of interest, restaurants, rates, and emergency service. Duties include answering inquiries, offering suggestions, and providing literature pertaining to trips, excursions, sporting events, concerts and plays. May make reservations, deliver tickets, arrange for visas, or contact individuals and groups to inform them of package tours."
43-4181.02,Reservation and Transportation Ticket Agents,"Make and confirm reservations for passengers and sell tickets for transportation agencies such as airlines, bus companies, railroads, and steamship lines. May check baggage and direct passengers to designated concourse, pier, or track."
43-4199.99,"Information and Record Clerks, All Other",All information and record clerks not listed separately.
43-5011.00,Cargo and Freight Agents,"Expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals, and shipping docks. Take orders from customers and arrange pickup of freight and cargo for delivery to loading platform. Prepare and examine bills of lading to determine shipping charges and tariffs."
43-5021.00,Couriers and Messengers,"Pick up and carry messages, documents, packages, and other items between offices or departments within an establishment or to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance."
43-5031.00,"Police, Fire, and Ambulance Dispatchers","Receive complaints from public concerning crimes and police emergencies. Broadcast orders to police patrol units in vicinity of complaint to investigate. Operate radio, telephone, or computer equipment to receive reports of fires and medical emergencies and relay information or orders to proper officials."
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance","Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress."
43-5041.00,"Meter Readers, Utilities","Read meter and record consumption of electricity, gas, water, or steam."
43-5051.00,Postal Service Clerks,"Perform any combination of tasks in a post office, such as receive letters and parcels; sell postage and revenue stamps, postal cards, and stamped envelopes; fill out and sell money orders; place mail in pigeon holes of mail rack or in bags according to State, address, or other scheme; and examine mail for correct postage."
43-5052.00,Postal Service Mail Carriers,Sort mail for delivery. Deliver mail on established route by vehicle or on foot.
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Prepare incoming and outgoing mail for distribution. Examine, sort, and route mail by State, type of mail, or other scheme. Load, operate, and occasionally adjust and repair mail processing, sorting, and canceling machinery. Keep records of shipments, pouches, and sacks; and other duties related to mail handling within the postal service. Must complete a competitive exam."
43-5061.00,"Production, Planning, and Expediting Clerks","Coordinate and expedite the flow of work and materials within or between departments of an establishment according to production schedule. Duties include reviewing and distributing production, work, and shipment schedules; conferring with department supervisors to determine progress of work and completion dates; and compiling reports on progress of work, inventory levels, costs, and production problems."
43-5071.00,"Shipping, Receiving, and Traffic Clerks","Verify and keep records on incoming and outgoing shipments. Prepare items for shipment. Duties include assembling, addressing, stamping, and shipping merchandise or material; receiving, unpacking, verifying and recording incoming merchandise or material; and arranging for the transportation of products."
43-5081.00,Stock Clerks and Order Fillers,"Receive, store, and issue sales floor merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May mark prices on merchandise and set up sales displays."
43-5081.01,"Stock Clerks, Sales Floor","Receive, store, and issue sales floor merchandise. Stock shelves, racks, cases, bins, and tables with merchandise and arrange merchandise displays to attract customers. May periodically take physical count of stock or check and mark merchandise."
43-5081.02,Marking Clerks,"Print and attach price tickets to articles of merchandise using one or several methods, such as marking price on tickets by hand or using ticket-printing machine."
43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard","Receive, store, and issue materials, equipment, and other items from stockroom, warehouse, or storage yard. Keep records and compile stock reports."
43-5081.04,"Order Fillers, Wholesale and Retail Sales","Fill customers' mail and telephone orders from stored merchandise in accordance with specifications on sales slips or order forms. Duties include computing prices of items, completing order receipts, keeping records of out-going orders, and requisitioning additional materials, supplies, and equipment."
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weigh, measure, and check materials, supplies, and equipment for the purpose of keeping relevant records. Duties are primarily clerical by nature."
43-6011.00,Executive Secretaries and Administrative Assistants,"Provide high-level administrative support by conducting research, preparing statistical reports, handling information requests, and performing clerical functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings. May also train and supervise lower-level clerical staff."
43-6012.00,Legal Secretaries,"Perform secretarial duties utilizing legal terminology, procedures, and documents. Prepare legal papers and correspondence, such as summonses, complaints, motions, and subpoenas. May also assist with legal research."
43-6013.00,Medical Secretaries,"Perform secretarial duties utilizing specific knowledge of medical terminology and hospital, clinic, or laboratory procedures. Duties include scheduling appointments, billing patients, and compiling and recording medical charts, reports, and correspondence."
43-6014.00,"Secretaries, Except Legal, Medical, and Executive","Perform routine clerical and administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers."
43-9011.00,Computer Operators,"Monitor and control electronic computer and peripheral electronic data processing equipment to process business, scientific, engineering, and other data according to operating instructions. May enter commands at a computer terminal and set controls on computer and peripheral devices. Monitor and respond to operating and error messages."
43-9021.00,Data Entry Keyers,"Operate data entry device, such as keyboard or photo composing perforator. Duties may include verifying data and preparing materials for printing."
43-9022.00,Word Processors and Typists,"Use word processor/computer or typewriter to type letters, reports, forms, or other material from rough draft, corrected copy, or voice recording. May perform other clerical duties as assigned."
43-9031.00,Desktop Publishers,Format typescript and graphic elements using computer software to produce publication-ready material.
43-9041.00,Insurance Claims and Policy Processing Clerks,"Process new insurance policies, modifications to existing policies, and claims forms. Obtain information from policyholders to verify the accuracy and completeness of information on claims forms, applications and related documents, and company records. Update existing policies and company records to reflect changes requested by policyholders and insurance company representatives."
43-9041.01,Insurance Claims Clerks,Obtain information from insured or designated persons for purpose of settling claim with insurance carrier.
43-9041.02,Insurance Policy Processing Clerks,"Process applications for, changes to, reinstatement of, and cancellation of insurance policies. Duties include reviewing insurance applications to ensure that all questions have been answered, compiling data on insurance policy changes, changing policy records to conform to insured party's specifications, compiling data on lapsed insurance policies to determine automatic reinstatement according to company policies, canceling insurance policies as requested by agents, and verifying the accuracy of insurance company records."
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Prepare incoming and outgoing mail for distribution. Use hand or mail handling machines to time stamp, open, read, sort, and route incoming mail; and address, seal, stamp, fold, stuff, and affix postage to outgoing mail or packages. Duties may also include keeping necessary records and completed forms."
43-9051.01,"Mail Machine Operators, Preparation and Handling","Operate machines that: Emboss names, addresses, and other matter onto metal plates for use in addressing machines; print names, addresses, and similar information onto items such as envelopes, accounting forms, and advertising literature; address, fold, stuff, seal, and stamp mail; and open envelopes."
43-9051.02,"Mail Clerks, Except Mail Machine Operators and Postal Service","Prepare incoming and outgoing mail for distribution. Duties include time stamping, opening, reading, sorting, and routing incoming mail; sealing, stamping, and affixing postage to outgoing mail or packages; and keeping necessary records and completed forms."
43-9061.00,"Office Clerks, General","Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring limited knowledge of office management systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, stenography, office machine operation, and filing."
43-9071.00,"Office Machine Operators, Except Computer","Operate one or more of a variety of office machines, such as photocopying, photographic, and duplicating machines, or other office machines."
43-9071.01,Duplicating Machine Operators,"Operate one of a variety of office machines such as photocopying, photographic, mimeograph, and duplicating machines to make copies."
43-9081.00,Proofreaders and Copy Markers,"Read transcript or proof type setup to detect and mark for correction any grammatical, typographical, or compositional errors."
43-9111.00,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.
43-9199.99,"Office and Administrative Support Workers, All Other",All office and administrative support workers not listed separately.
45-1011.00,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers","Directly supervise and coordinate the activities of agricultural, forestry, aquacultural, and related workers."
45-1011.01,First-Line Supervisors and Manager/Supervisors - Agricultural Crop Workers,"Directly supervise and coordinate activities of agricultural crop workers. Manager/Supervisors are generally found in smaller establishments where they perform both supervisory and management functions, such as accounting, marketing, and personnel work, and may also engage in the same agricultural work as the workers they supervise."
45-1011.02,First-Line Supervisors and Manager/Supervisors - Animal Husbandry Workers,"Directly supervise and coordinate activities of animal husbandry workers. Manager/Supervisors are generally found in smaller establishments where they perform both supervisory and management functions, such as accounting, marketing, and personnel work, and may also engage in the same animal husbandry work as the workers they supervise."
45-1011.03,"First-Line Supervisors and Manager/Supervisors - Animal Care Workers, Except Livestock","Directly supervise and coordinate activities of animal care workers. Manager/Supervisors are generally found in smaller establishments where they perform both supervisory and management functions, such as accounting, marketing, and personnel work, and may also engage in the same animal care work as the workers they supervise."
45-1011.04,First-Line Supervisors and Manager/Supervisors - Horticultural Workers,"Directly supervise and coordinate activities of horticultural workers. Manager/Supervisors are generally found in smaller establishments were they perform both supervisory and management functions, such as accounting, marketing, and personnel work, and may also engage in the same horticultural work as the workers they supervise."
45-1011.05,First-Line Supervisors and Manager/Supervisors - Logging Workers,"Directly supervise and coordinate activities of logging workers. Manager/Supervisors are generally found in smaller establishments where they perform both supervisory and management functions, such as accounting, marketing, and personnel work, and may also engage in the same logging work as the workers they supervise."
45-1011.06,First-Line Supervisors and Manager/Supervisors - Fishery Workers,"Directly supervise and coordinate activities of fishery workers. Manager/Supervisors are generally found in smaller establishments where they perform both supervisory and management functions, such as accounting, marketing, and personnel work, and may also engage in the same fishery work as the workers they supervise."
45-1012.00,Farm Labor Contractors,"Recruit, hire, furnish, and supervise seasonal or temporary agricultural laborers for a fee. May transport, house, and provide meals for workers."
45-2011.00,Agricultural Inspectors,"Inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety."
45-2021.00,Animal Breeders,"Breed animals, including cattle, goats, horses, sheep, swine, poultry, dogs, cats, or pet birds. Select and breed animals according to their genealogy, characteristics, and offspring. May require a knowledge of artificial insemination techniques and equipment use. May involve keeping records on heats, birth intervals, or pedigree."
45-2041.00,"Graders and Sorters, Agricultural Products","Grade, sort, or classify unprocessed food and other agricultural products by size, weight, color, or condition."
45-2091.00,Agricultural Equipment Operators,"Drive and control farm equipment to till soil and to plant, cultivate, and harvest crops. May perform tasks, such as crop baling or hay bucking. May operate stationary equipment to perform post-harvest tasks, such as husking, shelling, threshing, and ginning."
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; cleaning, grading, sorting, packing and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities."
45-2092.01,Nursery Workers,"Work in nursery facilities or at customer location planting, cultivating, harvesting, and transplanting trees, shrubs, or plants."
45-2092.02,General Farmworkers,"Apply pesticides, herbicides, and fertilizer to crops and livestock; plant, maintain, and harvest food crops; and tend livestock and poultry. Repair farm buildings and fences. Duties may include: operating milking machines and other dairy processing equipment; supervising seasonal help; irrigating crops; and hauling livestock products to market."
45-2093.00,"Farmworkers, Farm and Ranch Animals","Attend to live farm, ranch, or aquacultural animals that may include cattle, sheep, swine, goats, horses and other equines, poultry, finfish, shellfish, and bees. Attend to animals produced for animal products, such as meat, fur, skins, feathers, eggs, milk, and honey. Duties may include feeding, watering, herding, grazing, castrating, branding, de-beaking, weighing, catching, and loading animals. May maintain records on animals; examine animals to detect diseases and injuries; assist in birth deliveries; and administer medications, vaccinations, or insecticides as appropriate. May clean and maintain animal housing areas."
45-2099.99,"Agricultural Workers, All Other",All agricultural workers not listed separately.
45-3011.00,Fishers and Related Fishing Workers,"Use nets, fishing rods, traps, or other equipment to catch and gather fish or other aquatic animals from rivers, lakes, or oceans, for human consumption or other uses. May haul game onto ship."
45-3021.00,Hunters and Trappers,"Hunt and trap wild animals for human consumption, fur, feed, bait, or other purposes."
45-4011.00,Forest and Conservation Workers,"Under supervision, perform manual labor necessary to develop, maintain, or protect forest, forested areas, and woodlands through such activities as raising and transporting tree seedlings; combating insects, pests, and diseases harmful to trees; and building erosion and water control structures and leaching of forest soil. Includes forester aides, seedling pullers, and tree planters."
45-4021.00,Fallers,Use axes or chainsaws to fell trees using knowledge of tree characteristics and cutting techniques to control direction of fall and minimize tree damage.
45-4022.00,Logging Equipment Operators,"Drive logging tractor or wheeled vehicle equipped with one or more accessories, such as bulldozer blade, frontal shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree; to skid, load, unload, or stack logs; or to pull stumps or clear brush."
45-4022.01,Logging Tractor Operators,"Drive tractor equipped with one or more accessories, such as bulldozer blade, frontal hydraulic shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree, to skid, load and unload, or stack logs, or to pull stumps or clear brush."
45-4023.00,Log Graders and Scalers,"Grade logs or estimate the marketable content or value of logs or pulpwood in sorting yards, millpond, log deck, or similar locations. Inspect logs for defects or measure logs to determine volume."
45-4029.99,"Logging Workers, All Other",All logging workers not listed separately.
47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,Directly supervise and coordinate activities of construction or extraction workers.
47-1011.01,First-Line Supervisors and Manager/Supervisors- Construction Trades Workers,"Directly supervise and coordinate activities of construction trades workers and their helpers. Manager/Supervisors are generally found in smaller establishments where they perform both supervisory and management functions, such as accounting, marketing, and personnel work and may also engage in the same construction trades work as the workers they supervise."
47-1011.02,First-Line Supervisors and Manager/Supervisors- Extractive Workers,"Directly supervise and coordinate activities of extractive workers and their helpers. Manager/Supervisors are generally found in smaller establishments where they perform both supervisory and management functions, such as accounting, marketing, and personnel work, and may also engage in the same extractive work as the workers they supervise."
47-2011.00,Boilermakers,"Construct, assemble, maintain, and repair stationary steam boilers and boiler house auxiliaries. Align structures or plate sections to assemble boiler frame tanks or vats, following blueprints. Work involves use of hand and power tools, plumb bobs, levels, wedges, dogs, or turnbuckles. Assist in testing assembled vessels. Direct cleaning of boilers and boiler furnaces. Inspect and repair boiler fittings, such as safety valves, regulators, automatic-control mechanisms, water columns, and auxiliary machines."
47-2021.00,Brickmasons and Blockmasons,"Lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances to construct or repair walls, partitions, arches, sewers, and other structures."
47-2022.00,Stonemasons,"Build stone structures, such as piers, walls, and abutments. Lay walks, curbstones, or special types of masonry for vats, tanks, and floors."
47-2031.00,Carpenters,"Construct, erect, install, or repair structures and fixtures made of wood, such as concrete forms; building frameworks, including partitions, joists, studding, and rafters; wood stairways, window and door frames, and hardwood floors. May also install cabinets, siding, drywall and batt or roll insulation. Includes brattice builders who build doors or brattices (ventilation walls or partitions) in underground passageways to control the proper circulation of air through the passageways and to the working places."
47-2031.01,Construction Carpenters,"Construct, erect, install, and repair structures and fixtures of wood, plywood, and wallboard, using carpenter's hand tools and power tools."
47-2031.02,Rough Carpenters,"Build rough wooden structures, such as concrete forms, scaffolds, tunnel, bridge, or sewer supports, billboard signs, and temporary frame shelters, according to sketches, blueprints, or oral instructions."
47-2031.03,Carpenter Assemblers and Repairers,"Perform a variety of tasks requiring a limited knowledge of carpentry, such as applying siding and weatherboard to building exteriors or assembling and erecting prefabricated buildings."
47-2031.04,Ship Carpenters and Joiners,"Fabricate, assemble, install, or repair wooden furnishings in ships or boats."
47-2031.05,Boat Builders and Shipwrights,"Construct and repair ships or boats, according to blueprints."
47-2031.06,Brattice Builders,Build doors or brattices (ventilation walls or partitions) in underground passageways to control the proper circulation of air through the passageways and to the working places.
47-2041.00,Carpet Installers,Lay and install carpet from rolls or blocks on floors. Install padding and trim flooring materials.
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles","Apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors."
47-2043.00,Floor Sanders and Finishers,"Scrape and sand wooden floors to smooth surfaces using floor scraper and floor sanding machine, and apply coats of finish."
47-2044.00,Tile and Marble Setters,"Apply hard tile, marble, and wood tile to walls, floors, ceilings, and roof decks."
47-2051.00,Cement Masons and Concrete Finishers,"Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; use saws to cut expansion joints."
47-2053.00,Terrazzo Workers and Finishers,"Apply a mixture of cement, sand, pigment, or marble chips to floors, stairways, and cabinet fixtures to fashion durable and decorative surfaces."
47-2061.00,Construction Laborers,"Perform tasks involving physical labor at building, highway, and heavy construction projects, tunnel and shaft excavations, and demolition sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, clean up rubble and debris, and remove asbestos, lead, and other hazardous waste materials. May assist other craft workers."
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators","Operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways, or equipment used for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators."
47-2072.00,Pile-Driver Operators,"Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures, such as buildings, bridges, and piers."
47-2073.00,Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties."
47-2073.01,"Grader, Bulldozer, and Scraper Operators","Operate machines or vehicles equipped with blades to remove, distribute, level, or grade earth."
47-2073.02,Operating Engineers,"Operate several types of power construction equipment, such as compressors, pumps, hoists, derricks, cranes, shovels, tractors, scrapers, or motor graders to excavate, move and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties."
47-2081.00,Drywall and Ceiling Tile Installers,"Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings or partitions of buildings to provide support base for plaster, fire-proofing, or acoustical material."
47-2081.01,Ceiling Tile Installers,"Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings or partitions of buildings to provide support base for plaster, fire-proofing, or acoustical material."
47-2081.02,Drywall Installers,Apply plasterboard or other wallboard to ceilings and interior walls of buildings.
47-2082.00,Tapers,Seal joints between plasterboard or other wallboard to prepare wall surface for painting or papering.
47-2111.00,Electricians,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems."
47-2121.00,Glaziers,"Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops."
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall","Line and cover structures with insulating materials. May work with batt, roll, or blown insulation materials."
47-2132.00,"Insulation Workers, Mechanical","Apply insulating materials to pipes or ductwork, or other mechanical systems in order to help control and maintain temperature."
47-2141.00,"Painters, Construction and Maintenance","Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency."
